Distance,Speed,Throttle,Brake,Time
368.0,325.0,100.0,0.0,4493.557089503703
370.0,325.0,100.0,0.0,4493.57924131347
372.0,325.0,100.0,0.0,4493.601393123237
374.0,325.0,100.0,0.0,4493.623544933005
376.0,325.1166155027123,100.0,0.0,4493.645658480435
378.0,325.25478098231224,100.0,0.0,4493.66776495717
380.0,325.3929464619121,100.0,0.0,4493.689871433906
382.0,325.530908566087,100.0,0.0,4493.711945370574
384.0,325.6688597291052,100.0,0.0,4493.734017556657
386.0,325.80681089212334,100.0,0.0,4493.75608974274
388.0,325.9447620551415,100.0,0.0,4493.778161928823
390.0,326.0412576436608,100.0,0.0,4493.800202445972
392.0,326.11006816818195,100.0,0.0,4493.822221813818
394.0,326.1788786927031,100.0,0.0,4493.844241181665
396.0,326.24768921722426,100.0,0.0,4493.866260549512
398.0,326.3164997417454,100.0,0.0,4493.888279917359
400.0,326.38531026626663,100.0,0.0,4493.910299285206
402.0,326.4541207907878,100.0,0.0,4493.932318653052
404.0,326.52293131530894,100.0,0.0,4493.954338020899
406.0,326.5917418398301,100.0,0.0,4493.976357388746
408.0,326.66055236435125,100.0,0.0,4493.998376756593
410.0,326.7293628888724,100.0,0.0,4494.020396124439
412.0,326.79816646185634,100.0,0.0,4494.042413267794
414.0,326.86696357754226,100.0,0.0,4494.064428344814
416.0,326.93576069322825,100.0,0.0,4494.086443421833
418.0,327.0,100.0,0.0,4494.108459050637
420.0,327.0,100.0,0.0,4494.130482456475
422.0,327.0,100.0,0.0,4494.152505862313
424.0,327.0,100.0,0.0,4494.174529268152
426.0,327.0,100.0,0.0,4494.19655267399
428.0,327.0,100.0,0.0,4494.218576079828
430.0,327.0,100.0,0.0,4494.2405896964265
432.0,327.0,100.0,0.0,4494.26259064352
434.0,327.07313875906505,100.0,0.0,4494.2845533021755
436.0,327.164609849089,100.0,0.0,4494.306506363781
438.0,327.256080939113,100.0,0.0,4494.328459425386
440.0,327.34755202913703,100.0,0.0,4494.350412486992
442.0,327.43902311916105,100.0,0.0,4494.372365548598
444.0,327.530494209185,100.0,0.0,4494.394318610204
